SlideNumber,Module,SlideTitle,KeyPoints,ImagePrompt
11,Module 2,WHO MUST COMPLY AND WHEN,Which businesses are covered by NRS e-invoicing mandate; How taxpayer size and turnover affect rollout timing; What this means for your organisation,"Design a professional corporate presentation slide for a training course. Title: 'WHO MUST COMPLY AND WHEN'. Main bullet points: Which businesses are covered by NRS e-invoicing mandate; How taxpayer size and turnover affect rollout timing; What this means for your organisation. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
12,Module 2,Scope: VAT-Registered Businesses,"E-invoicing applies to all VAT-registered entities in Nigeria; If required to charge VAT on supplies, expected to issue e-invoices; Company form less important than VAT registration status","Design a professional corporate presentation slide for a training course. Title: 'Scope: VAT-Registered Businesses'. Main bullet points: E-invoicing applies to all VAT-registered entities in Nigeria; If required to charge VAT on supplies, expected to issue e-invoices; Company form less important than VAT registration status. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
13,Module 2,Who Should Register for VAT in Nigeria?,"VAT registration required for taxable persons carrying on economic activity in Nigeria; Includes individuals, companies, partnerships, NGOs, public bodies supplying taxable goods/services; Businesses with annual turnover of ₦25 million or more generally required to register for VAT","Design a professional corporate presentation slide for a training course. Title: 'Who Should Register for VAT in Nigeria?'. Main bullet points: VAT registration required for taxable persons carrying on economic activity in Nigeria; Includes individuals, companies, partnerships, NGOs, public bodies supplying taxable goods/services; Businesses with annual turnover of ₦25 million or more generally required to register for VAT. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
14,Module 2,Why Some Organisations Are Not VAT-Registered,"Below threshold: Very small businesses with turnover below ₦25m; Only exempt/zero-rated supplies: Entities dealing in VAT-exempt or zero-rated goods/services; Non-registration (risk): Some businesses haven't registered – this is non-compliance, not legal exemption","Design a professional corporate presentation slide for a training course. Title: 'Why Some Organisations Are Not VAT-Registered'. Main bullet points: Below threshold: Very small businesses with turnover below ₦25m; Only exempt/zero-rated supplies: Entities dealing in VAT-exempt or zero-rated goods/services; Non-registration (risk): Some businesses haven't registered – this is non-compliance, not legal exemption. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
15,Module 2,Not Just Big Corporates,"Professional services (law, consulting, engineering, IT, accounting); Trading and distribution (importers, wholesalers, FMCG distributors); Retail and fuel stations (supermarkets, chain stores, petrol stations); Manufacturing and industrial businesses; Healthcare, logistics, and many others","Design a professional corporate presentation slide for a training course. Title: 'Not Just Big Corporates'. Main bullet points: Professional services (law, consulting, engineering, IT, accounting); Trading and distribution (importers, wholesalers, FMCG distributors); Retail and fuel stations (supermarkets, chain stores, petrol stations); Manufacturing and industrial businesses; Healthcare, logistics, and many others. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
16,Module 2,"Groups, Branches, and Complex Structures",Many groups have multiple legal entities with different turnover levels; Each entity's VAT number and turnover determine its category; Branches under one VAT registration must follow consistent e-invoicing rules; Central policies needed even when operations are decentralised,"Design a professional corporate presentation slide for a training course. Title: 'Groups, Branches, and Complex Structures'. Main bullet points: Many groups have multiple legal entities with different turnover levels; Each entity's VAT number and turnover determine its category; Branches under one VAT registration must follow consistent e-invoicing rules; Central policies needed even when operations are decentralised. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
17,Module 2,Taxpayer Categories: Concept,"NRS phases rollout based on taxpayer size (turnover); Categories: Large taxpayers (highest turnover), Medium taxpayers (mid-range), Emerging/smaller taxpayers (lower turnover but VAT-registered); Larger taxpayers brought in first, smaller ones follow later","Design a professional corporate presentation slide for a training course. Title: 'Taxpayer Categories: Concept'. Main bullet points: NRS phases rollout based on taxpayer size (turnover); Categories: Large taxpayers (highest turnover), Medium taxpayers (mid-range), Emerging/smaller taxpayers (lower turnover but VAT-registered); Larger taxpayers brought in first, smaller ones follow later. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
18,Module 2,Large Taxpayers – Practical Profile,"Annual turnover typically well above ₦5bn; Usually have enterprise ERPs (SAP, Oracle, Dynamics); In-house IT and tax teams; Experience with other digital compliance systems; Already mandated for e-invoicing and under active enforcement","Design a professional corporate presentation slide for a training course. Title: 'Large Taxpayers – Practical Profile'. Main bullet points: Annual turnover typically well above ₦5bn; Usually have enterprise ERPs (SAP, Oracle, Dynamics); In-house IT and tax teams; Experience with other digital compliance systems; Already mandated for e-invoicing and under active enforcement. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
19,Module 2,Medium Taxpayers – Where Many Businesses Sit,"Annual turnover roughly ₦1bn–₦5bn band; Often use mid-tier systems: Sage, QuickBooks, local ERPs, or mix with Excel; Limited internal IT resources; Fragmented invoicing across branches; Heavy reliance on external accountants for VAT returns","Design a professional corporate presentation slide for a training course. Title: 'Medium Taxpayers – Where Many Businesses Sit'. Main bullet points: Annual turnover roughly ₦1bn–₦5bn band; Often use mid-tier systems: Sage, QuickBooks, local ERPs, or mix with Excel; Limited internal IT resources; Fragmented invoicing across branches; Heavy reliance on external accountants for VAT returns. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
20,Module 2,Emerging / Smaller Taxpayers – Typical Profile,"Turnover below medium band but VAT-registered; Often rely on Excel or Word invoice templates; Basic accounting tools without tax automation; Key challenges: Incomplete customer and product data, Highly manual inconsistent invoicing processes","Design a professional corporate presentation slide for a training course. Title: 'Emerging / Smaller Taxpayers – Typical Profile'. Main bullet points: Turnover below medium band but VAT-registered; Often rely on Excel or Word invoice templates; Basic accounting tools without tax automation; Key challenges: Incomplete customer and product data, Highly manual inconsistent invoicing processes. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
21,Module 2,Borderline Cases Around Thresholds,"Some businesses hover around thresholds (e.g., moving from ₦900m to ₦1.2bn); Growth or inflation can push into higher band between years; Best practice: Monitor rolling 12-month turnover, Plan for higher category if expecting to cross soon","Design a professional corporate presentation slide for a training course. Title: 'Borderline Cases Around Thresholds'. Main bullet points: Some businesses hover around thresholds (e.g., moving from ₦900m to ₦1.2bn); Growth or inflation can push into higher band between years; Best practice: Monitor rolling 12-month turnover, Plan for higher category if expecting to cross soon. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
22,Module 2,High-Level Timeline by Category,"Large taxpayers: Brought into e-invoicing from 2025, enforcement active; Medium taxpayers: Targeted for go-live around 2026, enforcement to follow; Emerging/smaller taxpayers: Phased in across 2027–2028; Always confirm precise dates with latest NRS circulars","Design a professional corporate presentation slide for a training course. Title: 'High-Level Timeline by Category'. Main bullet points: Large taxpayers: Brought into e-invoicing from 2025, enforcement active; Medium taxpayers: Targeted for go-live around 2026, enforcement to follow; Emerging/smaller taxpayers: Phased in across 2027–2028; Always confirm precise dates with latest NRS circulars. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
23,Module 2,Planning Timeline: What Each Category Should Do,"Large taxpayers: Should already be implementing or live, focus on stabilisation and error reduction; Medium taxpayers: This year critical for readiness assessments, vendor/APP selection, piloting, go-live; Emerging/smaller taxpayers: Use next 6–12 months to standardise invoicing, clean data, choose simple compliant tools","Design a professional corporate presentation slide for a training course. Title: 'Planning Timeline: What Each Category Should Do'. Main bullet points: Large taxpayers: Should already be implementing or live, focus on stabilisation and error reduction; Medium taxpayers: This year critical for readiness assessments, vendor/APP selection, piloting, go-live; Emerging/smaller taxpayers: Use next 6–12 months to standardise invoicing, clean data, choose simple compliant tools. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
24,Module 2,Worked Examples: Categorising Businesses,"Business A: Lagos FMCG distributor, turnover ≈ ₦2.5bn → likely medium taxpayer; Business B: Small professional firm, turnover ≈ ₦400m → likely emerging/smaller taxpayer; Business C: Oil marketing company, turnover ≈ ₦10bn → likely large taxpayer","Design a professional corporate presentation slide for a training course. Title: 'Worked Examples: Categorising Businesses'. Main bullet points: Business A: Lagos FMCG distributor, turnover ≈ ₦2.5bn → likely medium taxpayer; Business B: Small professional firm, turnover ≈ ₦400m → likely emerging/smaller taxpayer; Business C: Oil marketing company, turnover ≈ ₦10bn → likely large taxpayer. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
25,Module 2,Mini-Exercise: Your Category Profile,Take 5 minutes to note: Last year's approximate turnover; Expected turnover this year; Estimated taxpayer category; Main invoicing tools used today; Who currently owns VAT and invoicing in your organisation,"Design a professional corporate presentation slide for a training course. Title: 'Mini-Exercise: Your Category Profile'. Main bullet points: Take 5 minutes to note: Last year's approximate turnover; Expected turnover this year; Estimated taxpayer category; Main invoicing tools used today; Who currently owns VAT and invoicing in your organisation. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
26,Module 2,What This Means for You,"If large: Treat e-invoicing as urgent and ongoing, focus on optimisation; If medium: 2026 is critical preparation window, should already be planning; If emerging/smaller: More time, but delaying increases risk and cost; In all cases: Start mapping processes and cleaning data now, don't wait for enforcement letters","Design a professional corporate presentation slide for a training course. Title: 'What This Means for You'. Main bullet points: If large: Treat e-invoicing as urgent and ongoing, focus on optimisation; If medium: 2026 is critical preparation window, should already be planning; If emerging/smaller: More time, but delaying increases risk and cost; In all cases: Start mapping processes and cleaning data now, don't wait for enforcement letters. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
27,Module 3,MODULE 3 - THE E-INVOICING PROCESS: HOW IT WORKS,Module introduction; End-to-end e-invoicing workflow overview,"Design a professional corporate presentation slide for a training course. Title: 'MODULE 3 - THE E-INVOICING PROCESS: HOW IT WORKS'. Main bullet points: Module introduction; End-to-end e-invoicing workflow overview. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
28,Module 3,THE E-INVOICING PROCESS: HOW IT WORKS,"Understand end-to-end e-invoicing workflow for different transaction types; Learn technical steps: submission, validation, clearance, retrieval; See how businesses, APPs, and NRS interact; Explore practical examples across B2B, B2G, B2C scenarios","Design a professional corporate presentation slide for a training course. Title: 'THE E-INVOICING PROCESS: HOW IT WORKS'. Main bullet points: Understand end-to-end e-invoicing workflow for different transaction types; Learn technical steps: submission, validation, clearance, retrieval; See how businesses, APPs, and NRS interact; Explore practical examples across B2B, B2G, B2C scenarios. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
29,Module 3,The Big Picture: What Changes with E-Invoicing?,"Traditional: Create invoice → Send to customer → Report later; E-invoicing: Create structured invoice → Submit to NRS before sending → Receive validation → Then issue to customer; Key shift: Pre-clearance and real-time reporting replace post-transaction reporting; Tax authority sees every invoice as issued, not months later","Design a professional corporate presentation slide for a training course. Title: 'The Big Picture: What Changes with E-Invoicing?'. Main bullet points: Traditional: Create invoice → Send to customer → Report later; E-invoicing: Create structured invoice → Submit to NRS before sending → Receive validation → Then issue to customer; Key shift: Pre-clearance and real-time reporting replace post-transaction reporting; Tax authority sees every invoice as issued, not months later. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
30,Module 3,"Three Transaction Types, Three Process Flows","B2B (Business-to-Business): Invoice from your company to another VAT-registered business; B2G (Business-to-Government): Invoice to government agency or parastatal; B2C (Business-to-Consumer): Receipt to individual consumer for transactions above ₦50,000; Each type has different timing, format, and reporting requirements","Design a professional corporate presentation slide for a training course. Title: 'Three Transaction Types, Three Process Flows'. Main bullet points: B2B (Business-to-Business): Invoice from your company to another VAT-registered business; B2G (Business-to-Government): Invoice to government agency or parastatal; B2C (Business-to-Consumer): Receipt to individual consumer for transactions above ₦50,000; Each type has different timing, format, and reporting requirements. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
31,Module 3,B2B Process Flow: Step-by-Step (Overview),"Create structured invoice in your system; Submit to APP or NRS platform; Validate: NRS checks format, fields, TIN, VAT; Receive approval: NRS issues IRN, cryptographic stamp, QR code; Issue to customer: Only after receiving IRN; Customer claims VAT credit using your IRN","Design a professional corporate presentation slide for a training course. Title: 'B2B Process Flow: Step-by-Step (Overview)'. Main bullet points: Create structured invoice in your system; Submit to APP or NRS platform; Validate: NRS checks format, fields, TIN, VAT; Receive approval: NRS issues IRN, cryptographic stamp, QR code; Issue to customer: Only after receiving IRN; Customer claims VAT credit using your IRN. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
32,Module 3,B2B Process Flow: Technical Detail (Submission and Validation),"Submission method: API integration (automated) or web portal (manual); Data format: XML or JSON, following UBL or PEPPOL standards; Mandatory fields: Seller TIN, Buyer TIN, invoice date, description, amounts, VAT rate, etc.; Validation checks: TIN validity, field completeness, VAT calculation accuracy; Response time: Typically seconds to few minutes if data correct","Design a professional corporate presentation slide for a training course. Title: 'B2B Process Flow: Technical Detail (Submission and Validation)'. Main bullet points: Submission method: API integration (automated) or web portal (manual); Data format: XML or JSON, following UBL or PEPPOL standards; Mandatory fields: Seller TIN, Buyer TIN, invoice date, description, amounts, VAT rate, etc.; Validation checks: TIN validity, field completeness, VAT calculation accuracy; Response time: Typically seconds to few minutes if data correct. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
33,Module 3,"B2B Process Flow: IRN, Cryptographic Stamp, and QR Code",IRN: Unique identifier assigned by NRS for each validated invoice; Cryptographic Stamp: Digital signature proving NRS validation (prevents forgery); QR Code: Machine-readable code containing invoice summary and IRN; Legal requirement: All three must appear on final invoice document; Verification: Customers/auditors can scan QR or check IRN on NRS portal,"Design a professional corporate presentation slide for a training course. Title: 'B2B Process Flow: IRN, Cryptographic Stamp, and QR Code'. Main bullet points: IRN: Unique identifier assigned by NRS for each validated invoice; Cryptographic Stamp: Digital signature proving NRS validation (prevents forgery); QR Code: Machine-readable code containing invoice summary and IRN; Legal requirement: All three must appear on final invoice document; Verification: Customers/auditors can scan QR or check IRN on NRS portal. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
34,Module 3,B2B Worked Example: Professional Services Firm,"Scenario: Lagos consulting firm invoices corporate client ₦5 million (VAT ₦375,000 @ 7.5%); Steps: Prepare invoice → Send to NRS → NRS validates and issues IRN within 30 seconds → System retrieves IRN, stamp, QR → Generate final PDF → Email to client → Client claims ₦375,000 input VAT credit","Design a professional corporate presentation slide for a training course. Title: 'B2B Worked Example: Professional Services Firm'. Main bullet points: Scenario: Lagos consulting firm invoices corporate client ₦5 million (VAT ₦375,000 @ 7.5%); Steps: Prepare invoice → Send to NRS → NRS validates and issues IRN within 30 seconds → System retrieves IRN, stamp, QR → Generate final PDF → Email to client → Client claims ₦375,000 input VAT credit. Use a clean white background, Nigerian green (#008751) and navy (#003366) as primary colors, modern sans serif fonts (Montserrat or Roboto), simple flat icons next to key points, 16:9 aspect ratio (1920x1080), minimal and uncluttered layout with plenty of white space. Professional business training aesthetic suitable for financial compliance presentation. Consistent with previous slides in the series."
